"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.1273","0.1273","0.1273","0.1215","0.0592","0.1332","0.145","0.2309","0.2209","0.2308","0.23","0.5177","0.4754","1.4871","0.8426","0.5829","0.5448","0.6701","0.499","0.6354","0.5949","0.583","0.6381","1.0268","0.7817","0.7444","0.68","0.9306","0.9111","0.9095","0.6646","0.7271","0.746","0.8105","0.8225","0.7936","0.9098","0.9599","1.0046","1.0634","1.184","1.1998","1.2532","0.4354","1.2866","1.3214","1.2861","1.3008","1.289","1.3148","1.2825","1.3565","1.3309","1.3257","",
"Bulgaria","BGR","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","1.5958","1.5958","1.4563","1.7115","1.8573","1.9192","2.0265","1.9636","2.5338","2.2745","2.4999","2.3252","2.5401","2.7024","2.9994","3.0415","3.2393","2.8589","2.0043","1.9999","1.4404","1.3821","3.035","4.0619","2.7031","2.8227","2.7702","3.7081","4.1957","5.5224","3.4523","2.9501","2.6679","3.0635","2.5777","2.3977","2.2613","2.5378","1.5242","1.2112","1.2036","1.2342","1.3689","1.3845","1.4186","1.5653","1.4442","1.5138","1.7769","2.2138","2.1047","2.4948","2.5964","2.6281","",
"Bahrain","BHR","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","1.9849","1.9849","2.2277","2.3072","2.305","2.0049","2.0568","2.3217","2.4799","2.4888","2.5278","2.5354","2.3638","2.2051","2.4701","2.3663","2.7607","2.8076","2.8671","2.8446","2.823","2.8148","2.7694","2.7639","2.7859","2.7992","2.9011","2.8453","2.8407","2.7111","2.8558","2.7874","2.8825","2.8926","2.9738","3.1902","3.1596","3.66","3.9657","3.535","3.8707","3.6404","3.9739","3.8737","3.802","4.2071","4.1288","4.1582","4.0586","4.0961","4.0535","3.7409","3.6542","3.7478","",
"Bahamas, The","BHS","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001","",
"Bosnia and Herzegovina","BIH","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.0187","0.0187","0.0188","0.0197","0.0204","0.0215","0.0216","0.0225","0.0241","0.0257","0.0253","0.0301","0.033","0.037","0.0395","0.0412","0.0417","0.0422","0.0403","0.0405","0.0453","0.0403","0.0345","0.0299","0.0032","0.0038","0.0041","0.0131","0.0169","0.0163","0.0248","0.0265","0.0271","0.0273","0.2504","0.417","0.4452","0.4737","0.5291","0.8182","1.0412","1.198","0.8757","1.1672","1.0463","0.9808","0.8987","0.9915","1.0319","0.8823","1.1754","1.4429","1.483","1.4985","",
"Belarus","BLR","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","3.3883","3.3883","3.6188","3.8715","4.1295","4.2988","4.4843","4.6475","5.1845","5.3153","5.4573","5.5039","5.544","5.5454","5.5141","5.5265","5.5267","5.6739","5.6861","5.6449","5.5883","5.2908","3.8784","2.7561","2.5933","2.6924","2.3346","2.8625","2.5634","2.1475","2.9837","2.787","2.8029","2.9955","3.602","3.5637","3.7736","3.792","3.592","3.6426","4.6882","3.6156","3.9269","4.0088","3.9576","3.9019","3.5475","3.179","3.292","3.2671","3.0165","3.0202","2.8676","2.8948","",
"Belize","BLZ","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0002","0.0002","0.0003","0.0003","0.002","0.0003","0.0003","0.0002","0.0002","0.0002","0.0001","0.0006","0.0004","0.0003","0.0016","0.0051","0.0059","0.0054","",
"Bermuda","BMU","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bolivia","BOL","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.9322","1.6743","2.1288","1.7554","1.3193","1.4002","1.7107","1.2951","1.6863","1.1606","1.1821","1.3034","1.419","1.1455","1.1328","1.2554","1.0523","1.1168","1.4872","1.8834","1.9103","2.1688","2.4486","3.6441","3.738","2.119","1.9365","3.4111","2.939","2.0913","1.4751","1.264","1.3475","1.4041","1.2578","1.1452","1.0225","1.0153","1.0945","1.0742","1.0626","1.1239","1.1506","1.2056","1.2477","1.1454","1.1909","1.1292","1.0866","1.0399","1.109","1.1472","1.2188","1.3054","",
"Brazil","BRA","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","9.6518","9.2617","10.1458","11.6142","13.2248","14.6154","16.1381","18.5073","19.6378","21.6027","21.4254","18.43","17.849","21.0433","24.542","29.7385","27.7962","29.2984","30.5919","30.8735","27.5926","27.2955","27.8081","29.3417","31.9076","32.0366","33.3584","33.8012","33.7244","30.6478","28.7992","27.4996","27.0463","28.0185","28.9077","32.5856","31.3582","32.5534","34.3847","34.7718","32.7178","36.9191","34.5986","36.478","35.9842","34.3775","30.8327","33.8556","31.7006","29.4829","27.8964","27.9513","26.1711","26.219","",
